Sr. No.,Content ID,User ID,Category,Type,Datetime,Sentiments,Score
34,07f88a73-aef2-45fd-8b5d-418e448b853d,18c56602-937e-4ff3-bc6c-43f0b14212ca,Animals,Super Love,2/15/21 9:38,Positive,75
35,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,3eb6dad3-c017-4e77-8920-fbdea84b0acc,Technology,Scared,10/7/20 9:16,Negative,15
36,457301ee-3e87-40d8-8b82-ea4e1fa90e39,bec3a622-1373-49c2-9d57-e0281c34f5cf,Healthy Eating,Worried,12/28/20 9:05,Negative,12
37,4fa14453-7b29-4302-b51f-9aa23b472c1b,8c9c5ee7-9c8c-4842-bbd1-1d1e51da8164,Animals,Want,2/28/21 2:47,Positive,70
38,16757b80-2803-4464-b5d7-e372d8d77337,3e65775b-36e4-495d-9c45-28127fb3da5f,Technology,Hate,2/12/21 12:06,Negative,5
39,4478d98e-43e8-4dc0-884d-c1115aa8b970,d6204684-926d-41db-ae9c-a7bf2e76313a,Animals,Hate,12/27/20 22:57,Negative,5
40,34f73132-fff6-4f01-a5ec-4b4b66461fc7,948f7e9d-49bb-4770-bc9d-cb3fb65cca15,Fitness,Worried,5/22/21 3:37,Negative,12
41,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,f9775602-43ab-4d54-ad93-7c9a489879bc,Veganism,Dislike,4/5/21 6:47,Negative,10
42,220d9dc1-f8a5-422d-b200-3819f3b89b2b,26c9a1fc-78b0-460b-8931-cec1dc87aa0d,Dogs,Adore,9/6/20 9:22,Positive,72
43,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,49da0743-cb4d-4c84-b6a2-537bbe7256d1,Healthy Eating,Heart,10/30/20 23:50,Positive,60
44,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,b6d04982-1509-41ab-a700-b390d6cb4d02,Studying,Hate,1/24/21 10:15,Negative,5
45,259cd56f-b017-4a41-81a7-f26ce9b35092,b870b764-7447-4990-a8d4-024d33e0e67d,Culture,Heart,8/7/20 6:08,Positive,60
46,c01fa154-5348-4040-9d20-0bbf01f6349b,69532ce2-1ffe-4187-8042-0230d115b24e,Tennis,Heart,5/26/21 20:51,Positive,60
47,50c9237a-541c-4f10-a2be-7cbe076b2012,e79a2e98-57b4-4469-8da4-87f338460d42,Travel,Adore,4/27/21 7:04,Positive,72
48,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,77a7b81e-96f7-4e5a-92c7-5b07f7333913,Science,Adore,10/27/20 22:45,Positive,72
49,e442899c-d2d6-4392-be2d-a0b916ae47fb,c07fd88f-9e7b-47eb-8477-8fcbffb7c5c8,Technology,Cherish,10/26/20 4:55,Positive,70
50,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,80e03bc0-fc8f-475b-a4dd-870844b7a313,Science,Heart,5/27/21 23:09,Positive,60
51,82145a60-013e-4d96-81a5-399af8618158,2ad548cd-a899-4992-972b-92cde9cea8f1,Food,Peeking,3/5/21 9:20,Neutral,35
52,d852b946-01e1-44fe-abd7-26198660cbdb,242a3620-fc18-4120-ac72-37b0f3716879,Food,Love,4/2/21 7:32,Positive,65
53,9dd95c34-8b39-4776-a232-412512329c3f,a6133f47-5586-434e-8be1-1e7122db1c0e,Fitness,Dislike,12/3/20 22:11,Negative,10
54,c59e27e9-0439-4699-8ea0-5e93f662a05d,fe15963d-0a77-4247-9bc6-04e146b826b2,Fitness,Dislike,4/8/21 11:32,Negative,10
55,78713905-362f-4a87-9671-adab5f1e0e67,15e325b1-c221-4bf8-8010-18d76b03646e,Dogs,Peeking,1/10/21 2:16,Neutral,35
56,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,8fe167eb-3c69-459a-b32d-b030b942eab4,Healthy Eating,Adore,10/13/20 19:10,Positive,72
57,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,6ecb39b1-8f85-44f1-b2f3-0cffcba4d731,Culture,Super Love,6/1/21 10:59,Positive,75
58,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,f3eb7ee0-7788-43a0-9686-1c399260b17e,Soccer,Interested,1/17/21 9:47,Positive,30
59,026973ef-4b73-4901-9160-bc9e04516057,4eed2f45-f040-4995-a60f-472af1ff379a,Culture,Super Love,10/16/20 22:38,Positive,75
60,f08bdab2-b888-484e-8fd9-919e6ed86c12,3956593b-7739-426a-b7a5-e841c95a5df9,Education,Peeking,10/8/20 0:01,Neutral,35
61,a55b215b-06c5-4ef3-ac14-7e1569c3ad2e,1e571af5-1796-424c-b744-a925897d44a3,Education,Worried,2/6/21 1:15,Negative,12
62,258bb775-3c35-4eec-90f3-8b75a52e466a,ab9a4d70-3ae4-48d6-b161-c18bd687c3b4,Education,Hate,3/12/21 9:29,Negative,5
63,8d32243c-2dd1-4128-bde1-d643207e582c,ef56931b-540b-4166-9090-73ae48ac8d97,Studying,Super Love,6/1/21 10:13,Positive,75
64,e2c433d2-096e-484e-8c69-28f0bb69f3b7,7adafb3c-7c7c-492b-be5b-5ddd9ff1316a,Science,Dislike,2/4/21 22:17,Negative,10
65,3d8fffab-6107-4d7b-9485-c610e233c91c,9a84c667-c913-47ce-be69-0f847dbfe0db,Studying,Like,5/24/21 13:11,Positive,50
66,409aa11d-5af3-4a70-9da1-482857f5835e,7000ac2e-87a0-4e23-b342-5f150e03f9ef,Fitness,Adore,10/31/20 19:23,Positive,72
67,aa9ea032-0fea-42c3-88d9-666685d4b32b,1879b698-1639-438e-a07e-ddd735f8d57c,Veganism,Adore,2/7/21 15:53,Positive,72
68,eaddee3e-3a23-47cd-9785-ab7f2120a293,31cfc138-cec0-4176-bd6d-79c4cadbb1d4,Science,Intrigued,7/25/20 9:08,Positive,45
69,9ef39aa2-60f9-4e4b-b666-c6cb97015503,dcc6000c-ba92-472c-8bc1-9e9ca30b475b,Travel,Adore,7/11/20 23:08,Positive,72
70,841403fd-321b-4118-90b3-cc0075d64047,1e6db00c-22dd-4ae9-80e3-95f7a88b18b8,Studying,Cherish,7/5/20 0:49,Positive,70
71,3724de8a-ec2f-4021-a3f1-605d551da9d0,72d2587e-8fae-4626-a73d-352e6465ba0f,Culture,Indifferent,12/24/20 9:29,Neutral,20
72,2d0926be-9a29-4e6c-b342-815c70172214,7a85fbc6-253f-4552-9f4a-c1a332e14fa5,Animals,Like,11/1/20 16:18,Positive,50
73,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,f11e8adf-a550-4e7a-ab81-dbccd952dff8,Science,Want,1/11/21 15:20,Positive,70
74,0491183b-be25-4108-b667-8c30d3cdbf50,72d2587e-8fae-4626-a73d-352e6465ba0f,Veganism,Heart,12/22/20 14:39,Positive,60
75,359b93ea-446f-4202-8801-db238de5de4d,de39bbda-66a8-4c52-835a-7a104cf7f081,Food,Cherish,6/15/21 23:51,Positive,70
76,0adb9a94-210a-4e84-bca1-13db9452ff0e,f3eb7ee0-7788-43a0-9686-1c399260b17e,Healthy Eating,Want,3/28/21 4:53,Positive,70
77,3c510b35-43e2-4e84-a805-86c5ebddc4cf,a559688e-3f10-436f-a25e-8ad553eacb89,Studying,Adore,7/9/20 1:48,Positive,72
78,86346263-02db-4020-a216-9e54f502f643,bfe23c39-f814-4282-b0f7-506cd8295b8a,Travel,Heart,3/29/21 23:56,Positive,60
79,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,a1a9c0bd-785a-478f-a19e-9eb48fae0bd6,Fitness,Scared,9/28/20 20:38,Negative,15
80,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,d47fd6cf-20fa-45fe-97a1-b8aca043c9a8,Studying,Interested,3/1/21 0:43,Positive,30
81,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,ed5e1675-94a8-482c-8b43-1b9bb71d0495,Dogs,Worried,8/19/20 7:02,Negative,12
82,c4f59a1e-3198-4968-b062-9e9fcc41403f,f46eee2a-6024-4046-a6f4-5232366edb87,Veganism,Super Love,7/22/20 22:20,Positive,75
83,9d94f180-947c-40f5-aa05-f1958759b7fc,f8926cfa-7036-4929-b5db-925c26daea1a,Science,Indifferent,12/16/20 8:32,Neutral,20
84,6ef45d36-cd14-428c-b5cf-ad2f06371c6e,04e52602-e370-4a99-bfda-f0c1655058da,Cooking,Peeking,7/23/20 18:39,Neutral,35
85,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,7bf3ce80-784e-42a0-b06a-dbbd1e31a9b7,Culture,Scared,1/16/21 7:40,Negative,15
86,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,95023c1b-04b7-4efd-ab34-61a4a70bb9d8,Culture,Intrigued,9/3/20 0:08,Positive,45
87,fada6910-2cc5-4600-808c-1e6066f795a6,05782669-264e-4c14-990e-14c8dbb13bef,Technology,Dislike,10/27/20 23:14,Negative,10
88,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,b6fd2140-f8b9-498a-a07f-0dc9986736c6,Culture,Super Love,11/10/20 19:13,Positive,75
89,1de2f0f9-61ab-43fb-9180-6870824c63c0,084eb113-0d87-4ae5-891b-2ec7f1e194a8,Science,Love,7/5/20 20:16,Positive,65
90,e18e10e9-ed2a-494b-b215-edce890b1df4,57617bf3-b7d0-49cb-8d88-7d8346656397,Food,Heart,4/10/21 23:58,Positive,60
91,c2d6e707-f00e-4fa4-a193-eb36272f58df,c924f935-cff8-45c0-b4b7-5ed2c6cdaac8,Veganism,Love,6/6/21 9:10,Positive,65
92,af7971aa-5fd5-41d3-b6c3-583704a705a2,a90c3ed2-7c64-47c3-9da5-b10d05f6f9f2,Healthy Eating,Adore,9/11/20 13:59,Positive,72
93,6d6cf6a3-4187-44ec-af28-91c99b584bcf,8c9c5ee7-9c8c-4842-bbd1-1d1e51da8164,Veganism,Intrigued,8/9/20 23:20,Positive,45
94,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,49da0743-cb4d-4c84-b6a2-537bbe7256d1,Healthy Eating,Dislike,1/21/21 4:09,Negative,10
95,c8b044a9-8427-4b41-bc61-7b549ab1626c,64b33556-9ecf-4ebc-8b4c-f829ab1a4881,Studying,Scared,6/22/20 23:09,Negative,15
96,cd568dd1-70cf-45d6-b495-10eebff8c920,8dda1a41-9e57-4944-bd36-18c0ac343b13,Dogs,Indifferent,2/24/21 3:36,Neutral,20
97,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,9a84c667-c913-47ce-be69-0f847dbfe0db,Travel,Super Love,12/11/20 5:31,Positive,75
98,d147ab3c-4097-4eec-b4dc-480e4ece801b,95023c1b-04b7-4efd-ab34-61a4a70bb9d8,Culture,Hate,4/9/21 13:57,Negative,5
99,62681a6c-fe82-4186-ba7d-0805ae5b95ed,dcc6000c-ba92-472c-8bc1-9e9ca30b475b,Veganism,Heart,9/24/20 6:23,Positive,60
100,ec8e2d25-5730-4753-a0a2-d1ed41e23623,05782669-264e-4c14-990e-14c8dbb13bef,Healthy Eating,Love,12/13/20 6:32,Positive,65
101,67f2a150-6086-4cbd-8d21-46250ccef5a2,5897490a-0aaa-49c9-b63e-0da83088e3e0,Cooking,Disgust,4/15/21 19:16,Negative,0
102,65545cfb-59bb-4dc1-a38b-82f268210da2,c76c3393-88e2-47b0-ac37-dc4f2053f5a5,Technology,Interested,7/3/20 15:14,Positive,30
103,433607b3-eeb4-48b8-9263-9805c1b89d55,683d880b-3ccf-4f4d-8182-96e7a7a884bd,Education,Dislike,7/26/20 23:54,Negative,10
104,0f1fce4d-78a3-4e0e-8a7b-ebd5f97c305e,ad9f5c2f-aa30-4baf-b084-56b1a4b63b09,Dogs,Super Love,4/14/21 21:26,Positive,75
105,1000371f-7758-4c44-a1bc-41fd836b0bcb,2941011b-f214-4430-8a14-e791ed0805bb,Studying,Peeking,11/3/20 10:33,Neutral,35
106,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,85a3acae-0e71-49f4-a6ee-13d3df1f4962,Studying,Like,8/6/20 4:10,Positive,50
107,8e3896e3-2f84-4b47-9365-fb562c9ed730,cf34e8ee-f508-47bc-baa1-bcc576e1084d,Public Speaking,Intrigued,7/19/20 13:50,Positive,45
108,de9796a6-d19d-4c41-a965-7aa4dcc69fee,98411adf-cfc0-400d-aac8-e215571ef3f2,Technology,Scared,8/26/20 2:32,Negative,15
109,e4466189-0b96-4cc4-9d7d-d0f27b982548,bbe8f83c-af9c-4dab-b5fa-7925822e450d,Education,Indifferent,12/31/20 10:02,Neutral,20
110,391a9aa4-c04a-431e-8366-712d92267c2b,1bcc3c26-e82e-40f4-9d16-3311c8c1ddf6,Public Speaking,Heart,8/23/20 19:47,Positive,60
111,e8edf506-36c9-43a7-a685-8b9f6467e4f9,92c3576c-8634-42a8-8005-6e1ff8c207e8,Studying,Interested,11/17/20 0:10,Positive,30
112,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,69532ce2-1ffe-4187-8042-0230d115b24e,Food,Want,1/31/21 19:33,Positive,70
113,c7066a17-2e12-49d2-bb9e-c8967051f490,acbac577-54c9-4476-af3c-a3241a3f4a19,Public Speaking,Love,5/12/21 4:29,Positive,65
114,f01ec49c-3179-43bb-b127-2b1a73f34b06,6e98e5c2-b7d7-4915-bb20-d01a42d29dee,Animals,Want,5/24/21 10:53,Positive,70
115,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,4fe420fa-a193-4408-bd5d-62a020233609,Education,Interested,5/31/21 7:03,Positive,30
116,eb6fc324-f85b-4bfb-b712-0a3eceb0b9d7,76a034b7-e163-4735-a15b-b0ff645ca627,Soccer,Dislike,8/1/20 7:15,Negative,10
117,b6c24086-becf-4615-801e-c3c298a8d4e2,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,Travel,Dislike,2/27/21 21:17,Negative,10
118,1beeffff-f261-435f-a109-6fafe46669d4,ade9db41-034e-4b27-befb-42117025dab0,Public Speaking,Indifferent,12/16/20 11:20,Neutral,20
119,3a7f83a0-b9f9-44c1-a15d-656c4095e732,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,Soccer,Interested,6/6/21 9:31,Positive,30
120,2b6921de-e7f2-4e30-8feb-36bd41becaf0,ed1c744d-8561-4b41-b83c-7bf554fbca97,Travel,Like,8/16/20 1:35,Positive,50
121,b56a9e24-d0f2-4599-b893-c2889a15e1d6,094fbe49-da84-4445-9d28-7fc5f593f5ad,Veganism,Hate,8/24/20 4:16,Negative,5
122,d706b190-216c-4103-9107-fb7304766d68,cad2d54d-9555-4dfe-bfcd-7a584895a002,Cooking,Want,4/8/21 21:28,Positive,70
123,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,a1a9c0bd-785a-478f-a19e-9eb48fae0bd6,Tennis,Like,10/23/20 4:58,Positive,50
124,2c511a63-5eb5-422f-8483-c9fcf9a29b55,007a1366-a46f-40f1-9ba5-01245aeaf20f,Technology,Dislike,7/4/20 0:46,Negative,10
125,edc4a60a-b5ba-4178-b99e-9d34ed92599c,57617bf3-b7d0-49cb-8d88-7d8346656397,Technology,Like,8/3/20 19:55,Positive,50
126,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,7a85fbc6-253f-4552-9f4a-c1a332e14fa5,Animals,Worried,3/4/21 12:02,Negative,12
127,e51b00b8-49d4-4909-9f25-8e9a06e28728,e74edcea-5db4-4412-a4ce-eb7c5adc314a,Soccer,Worried,9/11/20 16:51,Negative,12
128,509a5fb0-9bb2-4809-9f90-18ae007acc94,64b82ed5-80dc-4fbb-9dfc-d7e037684f0e,Dogs,Heart,12/25/20 17:12,Positive,60
129,f1038e6c-5292-4e20-a866-675e1637d6b5,13f0db8a-152a-496f-a6e8-1ed6a90b8788,Soccer,Adore,5/31/21 13:23,Positive,72
130,08cc29f3-a22d-4652-8f27-ff9e0a826289,248a8f9f-10ac-4786-adfb-d0c3dd4e4b97,Technology,Intrigued,5/17/21 22:23,Positive,45
131,a784c1dd-e2ab-408d-a0c3-226a51d420e1,f86853a2-acda-4319-a50c-03f014248042,Technology,Heart,1/11/21 12:55,Positive,60
132,3a106d1f-3942-49d4-9358-417f33d760c6,6ecb39b1-8f85-44f1-b2f3-0cffcba4d731,Fitness,Cherish,4/24/21 12:52,Positive,70
133,1830df30-c239-4287-8d63-fadcb8ced884,68724f58-bc4d-4ab0-a4e1-60cdd5e95e7d,Veganism,Dislike,10/18/20 22:46,Negative,10
134,5bb364a6-8646-4cdb-b1cf-09f4125718d8,d47fd6cf-20fa-45fe-97a1-b8aca043c9a8,Soccer,Cherish,6/29/20 14:48,Positive,70
135,dd2f8912-9b97-40cb-ac5f-215f98d4d733,1f81cb56-5258-4f9e-ab2c-4dfb581b44cb,Fitness,Adore,5/20/21 20:38,Positive,72
136,de95cdb1-a85a-40de-8467-892e2d1481af,8abcf667-7be3-439f-97bb-3375a3de366c,Education,Cherish,6/26/20 0:17,Positive,70
137,e5f1a4c6-2b27-4c8b-ac9a-21bb6ef7c946,d27670c9-f85e-43e0-80a7-122cba908f10,Soccer,Peeking,9/12/20 0:42,Neutral,35
138,6199f5ca-cc02-410d-a408-e034946de162,4baf648a-0ad5-412d-8250-5a0ff9289fbf,Animals,Super Love,3/3/21 6:13,Positive,75
139,8490c29c-177f-4c21-9d37-d509f9287f30,c8145b49-3841-466e-9d49-a636ce2e7d1f,Tennis,Super Love,7/16/20 6:39,Positive,75
140,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,7bf3ce80-784e-42a0-b06a-dbbd1e31a9b7,Science,Love,6/23/20 20:28,Positive,65
141,5651450a-d330-46e6-bac9-c7c7e7defaf2,bf721d00-4fa1-44b1-834f-4730cd51aefa,"""Animals""",Cherish,10/20/20 1:05,Positive,70
142,7c2e209e-acea-4246-a32d-636e2f2cc2c1,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,Dogs,Peeking,11/23/20 23:20,Neutral,35
143,a72552ac-cad2-4707-8bc6-dea84a5ab72b,89d6bd9d-ce6b-42e5-bb9b-ece3b338396d,Studying,Adore,3/17/21 7:37,Positive,72
144,1bbdebad-2218-46fd-8afc-ddd9b4d56d97,c1e01541-7508-4712-a22c-0370f232a41e,Veganism,Like,12/9/20 8:18,Positive,50
145,2eb7feec-26a4-4949-8470-3e66c16536e9,a81df767-7da1-4844-b63c-fee4c9c7895d,Tennis,Indifferent,8/12/20 16:37,Neutral,20
146,0d3d0a35-f806-4536-8733-abf1f92763e2,a6f003be-b0fd-4100-b4cc-f568a21b9745,Studying,Want,12/12/20 14:42,Positive,70
147,f783f128-6f66-4ef3-a190-5afc29d17012,cad2d54d-9555-4dfe-bfcd-7a584895a002,Tennis,Like,1/2/21 10:56,Positive,50
148,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,8abcf667-7be3-439f-97bb-3375a3de366c,Cooking,Adore,3/18/21 18:41,Positive,72
149,6e418568-a2b9-4d08-b241-06362c96a7f1,ab9a4d70-3ae4-48d6-b161-c18bd687c3b4,Food,Hate,1/14/21 12:44,Negative,5
150,93c0f4f6-8c1e-453e-8df0-3015b1e76376,91bec0ab-a8d4-421e-b333-e511c7c6f9a0,Technology,Super Love,7/29/20 18:58,Positive,75
151,2893a837-3157-4bbd-918f-adc93b60480a,3d5f257e-556b-4e19-b127-977bc5c4daed,Healthy Eating,Adore,3/5/21 8:27,Positive,72
152,34123572-64b7-4f3d-b098-a2651d882fb2,6178d76a-af2e-4453-93ee-02ca23ed3fdc,Dogs,Peeking,2/12/21 21:21,Neutral,35
153,811834bf-44bf-47f3-ae30-e305591177d6,69fcad9e-45a9-4189-b7e1-96b26c57c542,Animals,Hate,9/23/20 18:41,Negative,5
154,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,3954373b-2411-4d3a-98ba-03bafc1a1a6d,Culture,Super Love,9/3/20 1:00,Positive,75
155,8f3cce80-d539-4f83-84f6-901e524c088e,4291e9a9-b4a8-42e1-b032-520b16f93888,Travel,Scared,1/13/21 6:47,Negative,15
156,27fffa3e-000d-4f29-9358-5b0d2280d18c,9664d628-9163-4aae-94e0-311f3bdb2f11,Dogs,Want,8/14/20 23:39,Positive,70
157,3c092e34-bac9-4e63-a7fa-0608fb73914f,054b5d2a-7ee3-49c8-912a-1cf58389ae60,Soccer,Indifferent,12/18/20 20:24,Neutral,20
158,413101f7-ea05-4df6-97cf-9891245c5ed7,0828c4e1-63ec-4121-aa07-eefd37954bb9,Science,Adore,6/10/21 12:14,Positive,72
159,6be333ca-7797-41a5-9a2d-e198037d30ed,1e571af5-1796-424c-b744-a925897d44a3,Food,Intrigued,10/1/20 5:02,Positive,45
160,c136ae25-d882-4e2c-b515-5727ad2626a5,b841358a-d8ff-412e-b940-3a95fd31291b,Soccer,Hate,6/2/21 19:24,Negative,5
161,bd810ca4-54cf-420e-afec-0214b870672e,c1e01541-7508-4712-a22c-0370f232a41e,Technology,Want,4/6/21 9:09,Positive,70
162,ba9ce407-672c-4ceb-9c1f-59590fd187d0,3eb6dad3-c017-4e77-8920-fbdea84b0acc,Fitness,Like,3/6/21 18:46,Positive,50
163,43e53b12-71cb-4aad-9cb7-8c3572053230,3e65775b-36e4-495d-9c45-28127fb3da5f,Fitness,Worried,12/4/20 4:10,Negative,12
164,a58c963f-1bec-4eee-b66f-60062a9dd96e,da97952a-2eba-46c4-a19e-3df3c40a1524,Dogs,Adore,6/9/21 0:41,Positive,72
165,2c0e1f1e-1af8-45b6-b8f2-9714358dd2ad,31ff6616-c1dc-4b9a-8091-0b4d0cac25b1,Travel,Indifferent,12/11/20 15:35,Neutral,20
166,748ab616-8066-4c61-b6af-d7442545d12a,a8d09ab9-44c6-493c-afdf-93888822a4b0,Veganism,Like,3/30/21 6:03,Positive,50
167,e0fe9c2b-0e5f-46b3-bb4a-f68bf569e867,542041fb-f361-4353-b0f0-442c1585317a,Science,Dislike,6/8/21 16:10,Negative,10
168,734c0b94-6729-44ef-af97-90a3a51a466c,3455a646-398f-4b16-b19a-1371cdb2e048,Travel,Love,11/6/20 19:59,Positive,65
169,43da458b-66fe-4723-996c-57dcfad67edf,b0d6f088-ee97-4087-aeb1-4957f24a5f4d,Food,Cherish,11/29/20 4:03,Positive,70
170,3d02ae44-c8f2-4d2d-a64c-9355a4f46430,18421d97-6f86-4d21-a7b1-dcc57dd8be76,Fitness,Peeking,5/31/21 4:39,Neutral,35
171,7dc268e5-b50d-4280-82aa-e08af75a8a0a,6178d76a-af2e-4453-93ee-02ca23ed3fdc,Science,Disgust,7/4/20 5:59,Negative,0
